Benchmark,Result
lsv_fall_2021/pa1/4bit.blif,Pass
benchmarks/arithmetic/adder.aig,Pass
benchmarks/arithmetic/bar.aig,Pass
benchmarks/arithmetic/div.aig,Fail
benchmarks/arithmetic/hyp.aig,Pass
benchmarks/arithmetic/log2.aig,Pass
benchmarks/arithmetic/max.aig,Pass
benchmarks/arithmetic/multiplier.aig,Pass
benchmarks/arithmetic/sin.aig,Pass
benchmarks/arithmetic/sqrt.aig,Pass
benchmarks/arithmetic/square.aig,Fail
benchmarks/random_control/arbiter.aig,Pass
benchmarks/random_control/cavlc.aig,Pass
benchmarks/random_control/ctrl.aig,Fail
benchmarks/random_control/dec.aig,Pass
benchmarks/random_control/i2c.aig,Fail
benchmarks/random_control/int2float.aig,Pass
benchmarks/random_control/mem_ctrl.aig,Fail
benchmarks/random_control/priority.aig,Fail
benchmarks/random_control/router.aig,Fail
benchmarks/random_control/voter.aig,Pass
Score,57
