Benchmark,Result
lsv_fall_2021/pa1/*.blif,Fail
benchmarks/arithmetic/hyp.aig,Fail
benchmarks/arithmetic/multiplier.aig,Fail
benchmarks/arithmetic/bar.aig,Fail
benchmarks/arithmetic/sin.aig,Fail
benchmarks/arithmetic/square.aig,Fail
benchmarks/arithmetic/max.aig,Fail
benchmarks/arithmetic/log2.aig,Fail
benchmarks/arithmetic/div.aig,Fail
benchmarks/arithmetic/adder.aig,Fail
benchmarks/arithmetic/sqrt.aig,Fail
benchmarks/random_control/voter.aig,Fail
benchmarks/random_control/int2float.aig,Fail
benchmarks/random_control/dec.aig,Fail
benchmarks/random_control/priority.aig,Fail
benchmarks/random_control/arbiter.aig,Fail
benchmarks/random_control/ctrl.aig,Fail
benchmarks/random_control/router.aig,Fail
benchmarks/random_control/cavlc.aig,Fail
benchmarks/random_control/mem_ctrl.aig,Fail
benchmarks/random_control/i2c.aig,Fail
Score,0
